event_id    , title                                                                 , Artist_name                                                , description                                                                                                                                                                                                                                     , category                        , audience, tags                                                                                                                           , date_start, doors_open_time, date_end, time_start , duration_min, venue_name                                                       , venue_address                               , localidad                , city  , lat        , lon         , price_min_cop, price_max_cop, is_free  , age_min        , organizer_name                                                       , source_name , source_url                                                              , image_url
MED-2025-002, Ryan Castro � Send� World Tour                                        , Ryan Castro                                                , El cantante colombiano presenta su tour mundial 'Send�'.                                                                                                                                                                                        , musica                          , j�venes , "urbano,reggaet�n,trap"                                                                                                        , 31/10/25  , 19:30          , 31/10/25, 19:30      ,          180, Coliseo MedPlus                                                  , "Calle 80 Km 1.5, v�a a Cota, Bogot�"       , El Rosal                 , Bogot�, 4.738086   , -74.132268  ,        100000,        600000, FALSE    , 18+            , Stage Eventos                                                        , Ticketmaster, https://www.taquillalive.com/                                           , 
MED-2025-003, Marc Anthony � En Vivo Tour                                           , Marc Anthony                                               , El �cono de la salsa regresa con su gira internacional.                                                                                                                                                                                         , musica                          , adultos , "salsa,latino,tour"                                                                                                            , 13/11/25  , 19:00          , 13/11/25, 19:00      ,          180, Coliseo MedPlus                                                  , "Calle 80 Km 1.5, v�a a Cota, Bogot�"       , El Rosal                 , Bogot�, 4.738086   , -74.132268  ,        200000,       1000000, FALSE    , todas          , CMN Events                                                           , Ticketmaster, https://www.taquillalive.com/                                           , 
MED-2026-004, R�f�s Du Sol Live Bogot�                                              , R�f�s Du Sol                                               , El tr�o australiano de musica electr�nica llega a Colombia.                                                                                                                                                                                     , musica                          , adultos , "electr�nica,house,alternativo"                                                                                                , 03/06/26  , 19:00          , 03/06/26, 19:00      ,          180, Coliseo MedPlus                                                  , "Calle 80 Km 1.5, v�a a Cota, Bogot�"       , El Rosal                 , Bogot�, 4.738086   , -74.132268  ,        180000,        900000, FALSE    , 14+            , Move Concerts                                                        , Ticketmaster, https://www.taquillalive.com/                                           , 
MED-2025-005, Christian Nodal � Pa�l Cora Tour                                      , Christian Nodal                                            , El artista mexicano presenta su gira 'Pa�l Cora Tour' en formato 360�.                                                                                                                                                                          , musica                          , adultos , "regional mexicano, tour, 360"                                                                                                 , 20/09/25  , 20:00          , 20/09/25, 20:00      ,          180, Coliseo MedPlus                                                  , "Calle 80 Km 1.5, v�a a Cota, Bogot�"       , El Rosal                 , Bogot�, 4.738086   , -74.132268  ,        180000,        950000, FALSE    , todas          , Coliseo MedPlus                                                      , Ticketmaster, https://www.taquillalive.com/                                           , 
MED-2025-006, Perros Criollos Bogot�                                                , Perros Criollos                                            , Presentaci�n de la banda colombiana Perros Criollos en el Coliseo MedPlus.                                                                                                                                                                      , musica                          , j�venes , "rock colombiano, alternativo"                                                                                                 , 10/11/25  , 20:00          , 10/11/25, 20:00      ,          180, Coliseo MedPlus                                                  , "Calle 80 Km 1.5, v�a a Cota, Bogot�"       , El Rosal                 , Bogot�, 4.738086   , -74.132268  ,         80000,        350000, FALSE    , todas          , Coliseo MedPlus                                                      , Ticketmaster, https://www.taquillalive.com/                                           , 
MED-2026-007, Korn Live Bogot� 2026                                                 , Ko?n                                                       , La legendaria banda de nu metal llega a Bogot� con su gira 2026.                                                                                                                                                                                , musica                          , adultos , "metal, rock, alternativo"                                                                                                     , 06/02/26  , 20:00          , 06/02/26, 20:00      ,          180, Coliseo MedPlus                                                  , "Calle 80 Km 1.5, v�a a Cota, Bogot�"       , El Rosal                 , Bogot�, 4.738086   , -74.132268  ,        220000,       1100000, FALSE    , todas          , Taquillalive                                                         , Ticketmaster, https://www.taquillalive.com/performance-details/?event=TCL.EVN1034.PRF1, 
MED-2026-008, Stream Fighters                                                       , "Westcol, Cosculluela"                                     , "Stream Fighters 4: el evento de boxeo amateur, y musica m�s grande de Latinoam�rica.	boxing	j�venes	boxing, jovenes, colombia, novedad, reggaeton, mx, argStream Fighters 4: el evento de boxeo amateur, y musica m�s grande de Latinoam�rica."   , boxing                          , j�venes , "boxing, jovenes, colombia, novedad, reggaeton, mx, arg"                                                                       , 16/10/25  , 20:00          , 16/10/25, 20:00      ,          180, Coliseo MedPlus                                                  , "Calle 80 Km 1.5, v�a a Cota, Bogot�"       , El Rosal                 , Bogot�, 4.738086   , -74.132268  ,        220000,       4000000, FALSE    , todas          , Taquillalive                                                         , Ticketmaster, https://www.taquillalive.com/performance-details/?event=TCL.EVN1034.PRF2, 
TuBoleta-001, CAR�N LE�N | BOCA CHUECA TOUR 2025                                    , Car�n Le�n                                                 , Concierto �nico en Bogot� como parte de su Boca Chueca Tour 2025. Invitados especiales y nueva localidad Gramilla Zapateado. Organiza Breakfast Live.                                                                                           , musica                          , adultos , "regional mexicana, banda, concierto, Boca Chueca Tour"                                                                        , 08/11/25  , 21:00          , 08/11/25, 19:00      ,             , Estadio Nemesio Camacho El Camp�n                                , "Carrera 30 y Calle 57, Teusaquillo, Bogot�", El Camp�n                , Bogot�, 4.64595    , -74.0776    ,         90000,      16000000, FALSO    , 18             , Breakfast Live                                                       , Tuboleta    , https://www.tuboleta.com/es/eventos/carin-leon-boca-chueca-tour-2025    , 
BOG-0001    , POLO & PAN                                                            , POLO & PAN                                                 , M�sica                                                                                                                                                                                                                                          , M�sica                          , Adultos , "electr�nica, fiesta, POLO & PAN, concierto, Bogot�"                                                                           , 31/10/25  , 17:00          , 31/10/25, 17:00      ,          180, Movistar Arena                                                   , Dg. 61C #26-36                              , Teusaquillo              , Bogot�, 4.649331822, -74.0772439 ,        100000,        650000, FALSO    , 18             , Breakfast Live                                                       , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0002    , Alejandro Fern�ndez � De Rey a Rey                                    , Alejandro Fern�ndez                                        , M�sica                                                                                                                                                                                                                                          , M�sica                          , Adultos , "regional mexicano, concierto, Alejandro Fern�ndez, Bogot�"                                                                    , 01/11/25  , 18:00          , 01/11/25, 18:00      ,          180, Movistar Arena                                                   , Dg. 61C #26-36                              , Teusaquillo              , Bogot�, 4.649331822, -74.0772439 ,        100000,        650000, FALSO    , 18             , Promotora Colombia SAS                                               , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0003    , Alejandro Fern�ndez � De Rey a Rey (Segunda Fecha)                    , Alejandro Fern�ndez                                        , M�sica                                                                                                                                                                                                                                          , M�sica                          , Adultos , "regional mexicano, concierto, Alejandro Fern�ndez, Bogot�"                                                                    , 02/11/25  , 18:00          , 02/11/25, 18:00      ,          180, Movistar Arena                                                   , Dg. 61C #26-36                              , Teusaquillo              , Bogot�, 4.649331822, -74.0772439 ,        100000,        650000, FALSO    , 18             , Promotora Colombia SAS                                               , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0004    , Latin Mafia � Tour Latinoam�rica 2025                                 , Latin Mafia                                                , M�sica                                                                                                                                                                                                                                          , M�sica                          , Adultos , "Latin Mafia, tour, Latinoam�rica, concierto, Bogot�, Movistar Arena"                                                          , 06/11/25  , 17:00          , 06/11/25, 17:00      ,          180, Movistar Arena                                                   , Dg. 61C #26-36                              , Teusaquillo              , Bogot�, 4.649331822, -74.0772439 ,        100000,        650000, FALSO    , 18             , Breakfast TBL S.A.S                                                  , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0005    , J Balvin � Made in Colombia: Ciudad Primavera                         , J Balvin                                                   , M�sica                                                                                                                                                                                                                                          , M�sica                          , Adultos , "J Balvin, concierto, reguet�n, Made in Colombia, Bogot�, El Camp�n"                                                           , 13/12/25  , 16:00          , 13/12/25, 16:00      ,          180, Estadio Nemesio Camacho El Camp�n                                , Calle 53 #37-24                             , Teusaquillo              , Bogot�, 4.6459032  , -74.07752822,        100000,        650000, FALSO    , 18             , Diomar Garc�a Eventos + Stage Eventos + Siete Entertainment          , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0006    , Gypsy Express � La Gata Circo y Burning Caravan                       , La Gata Circo & Burning Caravan                            , Teatro                                                                                                                                                                                                                                          , Teatro                          , Ni�os   , "circo, danza, teatro, La Gata Circo, Burning Caravan, Bogot�"                                                                 , 30/10/25  , 19:00          , 30/10/25, 19:00      ,          180, Teatro Jorge Eli�cer Gait�n                                      , Carrera 7 #22-47                            , Santa Fe                 , Bogot�, 4.60922    , -74.06987   ,        100000,        650000, FALSO    , 7              , IDARTES                                                              , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0007    , Otoboke Beaver                                                        , Otoboke Beaver                                             , M�sica                                                                                                                                                                                                                                          , M�sica                          , Adultos , "punk, garage rock, Otoboke Beaver, Bogot�, concierto"                                                                         , 04/11/25  , 19:00          , 04/11/25, 19:00      ,          180, Boro Room                                                        , Calle 55 #13-51                             , Chapinero                , Bogot�, 4.64222735 , -74.06528296,        100000,        650000, FALSO    , 18             , Breakfast TBL S.A.S                                                  , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0008    , Yuri Buenaventura � �mame y �xitos de siempre                         , Yuri Buenaventura                                          , M�sica                                                                                                                                                                                                                                          , M�sica                          , Ni�os   , "Yuri Buenaventura, �lbum �mame, salsa, concierto, Bogot�, Teatro Colsubsidio"                                                 , 07/11/25  , 18:30          , 07/11/25, 18:30      ,          180, Teatro Colsubsidio                                               , Av. El Dorado #25-40                        , Teusaquillo              , Bogot�, 4.623108585, -74.07802426,        100000,        650000, FALSO    , 3              , Colsubsidio                                                          , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0009    , Yuri Buenaventura � �mame y �xitos de siempre (Funci�n 1)             , Yuri Buenaventura                                          , M�sica                                                                                                                                                                                                                                          , M�sica                          , Ni�os   , "Yuri Buenaventura, �lbum �mame, salsa, concierto, Bogot�, Teatro Colsubsidio"                                                 , 08/11/25  , 15:00          , 08/11/25, 15:00      ,          180, Teatro Colsubsidio                                               , Av. El Dorado #25-40                        , Teusaquillo              , Bogot�, 4.623108585, -74.07802426,        100000,        650000, FALSO    , 3              , Colsubsidio                                                          , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0010    , Yuri Buenaventura � �mame y �xitos de siempre (Funci�n 2)             , Yuri Buenaventura                                          , M�sica                                                                                                                                                                                                                                          , M�sica                          , Ni�os   , "Yuri Buenaventura, �lbum �mame, salsa, concierto, Bogot�, Teatro Colsubsidio"                                                 , 08/11/25  , 18:30          , 08/11/25, 18:30      ,          180, Teatro Colsubsidio                                               , Av. El Dorado #25-40                        , Teusaquillo              , Bogot�, 4.623108585, -74.07802426,        100000,        650000, FALSO    , 3              , Colsubsidio                                                          , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0011    , La Mosca � Festival Cordillera 2025                                   , La Mosca                                                   , M�sica                                                                                                                                                                                                                                          , M�sica                          , Adultos , "La Mosca, concierto, Festival Cordillera, Bogot�, Parque Sim�n Bol�var"                                                       , 13/09/25  , 13:00          , 13/09/25, 13:00      ,          180, Parque Metropolitano Sim�n Bol�var                               , Av. 68 & Calle 63                           , Barrios Unidos / Engativ�, Bogot�, 4.660717655, -74.09074677,        100000,        650000, FALSO    , 18             , Festival Cordillera                                                  , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0012    , Julio Victoria � Sinfon�a Electr�nica 2025                            , Julio Victoria                                             , M�sica                                                                                                                                                                                                                                          , M�sica                          , Jovenes , "Julio Victoria, electr�nica, sinf�nica, Orquesta Filarm�nica de Mujeres, Bogot�, Teatro Mayor"                                , 09/11/25  , 17:30          , 09/11/25, 17:30      ,          180, Teatro Mayor Julio Mario Santo Domingo                           , Calle 170 #67-51                            , Suba                     , Bogot�, 4.75671    , -74.06281   ,        100000,        650000, FALSO    , 12             , Promotora Colombia S.A.S                                             , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0013    , Car�n Le�n � Boca Chueca Tour 2025                                    , Car�n Le�n                                                 , M�sica                                                                                                                                                                                                                                          , M�sica                          , Adultos , "Car�n Le�n, Boca Chueca Tour, regional mexicano, concierto, Bogot�, El Camp�n"                                                , 08/11/25  , 17:00          , 08/11/25, 17:00      ,          180, Estadio Nemesio Camacho El Camp�n                                , Carrera 30 & Calle 57                       , Teusaquillo              , Bogot�, 4.6459032  , -74.07752822,        100000,        650000, FALSO    , 18             , Breakfast Live                                                       , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0014    , S�lvia P�rez Cruz y Salvador Sobral                                   , S�lvia P�rez Cruz & Salvador Sobral                        , M�sica                                                                                                                                                                                                                                          , M�sica                          , Ni�os   , "S�lvia P�rez Cruz, Salvador Sobral, �lbum d�o, concierto, Bogot�, Teatro Colsubsidio"                                         , 30/10/25  , 18:30          , 30/10/25, 18:30      ,          180, Teatro Colsubsidio                                               , Av. El Dorado #25-40                        , Teusaquillo              , Bogot�, 4.623108585, -74.07802426,        100000,        650000, FALSO    , 3              , Colsubsidio                                                          , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0015    , El Principito � El Musical                                            , Elenco de El Principito (Producci�n Teatral Colombia)      , Teatro                                                                                                                                                                                                                                          , Teatro                          , Ni�os   , "El Principito, musical, familia, teatro, Bogot�, Teatro Col�n"                                                                , 30/10/25  , 18:30          , 30/10/25, 18:30      ,          180, Teatro Col�n                                                     , Calle 10 #5-32                              , La Candelaria            , Bogot�, 4.5966666  , -74.0744201 ,         60000,        200000, FALSO    , 2              , Centro Nacional de las Artes Delia Zapata Olivella                   , TuBoleta    , https://tuboleta.com/es                                                 , 
